intent,snippet
how can i get the list of names used in a formatting string?,get_format_vars('hello %(foo)s  there %(bar)s')
"set columns `['race_date', 'track_code', 'race_number']` as indexes in dataframe `rdata`","rdata.set_index(['race_date', 'track_code', 'race_number'])"
check if key 'stackoverflow' and key 'google' are presented in dictionary `sites`,"set(['stackoverflow', 'google']).issubset(sites)"
python pandas filtering out nan from a data selection of a column of strings,nms.dropna(thresh=2)
correct way of implementing cherrypy's autoreload module,cherrypy.quickstart(Root())
pythonic way to assign the parameter into attribute?,"setattr(self, k, v)"
getting the second to last element of list `some_list`,some_list[(-2)]
create a list containing elements from list `list` that are predicate to function `f`,[f(x) for x in list]
print a digit `your_number` with exactly 2 digits after decimal,print('{0:.2f}'.format(your_number))
sort list `mylist` alphabetically,mylist.sort(key=lambda x: x.lower())
python byte string encode and decode,"""""""foo"""""".decode('latin-1')"
"python: how to ""fork"" a session in django","return render(request, 'organisation/wall_post.html', {'form': form})"
how to get an arbitrary element from a frozenset?,"[random.sample(s, 1)[0] for _ in range(10)]"
drop column based on a string condition,"df.drop(df.columns[df.columns.str.match('chair')], axis=1)"
add leading zeros to strings in pandas dataframe,df['ID'] = df['ID'].apply(lambda x: '{0:0>15}'.format(x))
sunflower scatter plot using matplotlib,plt.show()
get a list of the keys in each dictionary in a dictionary of dictionaries `foo`,[k for d in list(foo.values()) for k in d]
sort dictionary `mydict` in descending order based on the sum of each value in it,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]"
django circular model reference,team = models.ForeignKey('Team')
match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)"
"add row `['8/19/2014', 'jun', 'fly', '98765']` to dataframe `df`","df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']"
matplotlib: formatting dates on the x-axis in a 3d bar graph,plt.show()
python - how to calculate equal parts of two dictionaries?,"d3 = {k: list(set(d1.get(k, [])).intersection(v)) for k, v in list(d2.items())}"
round number 1.005 up to 2 decimal places,"round(1.005, 2)"
pls-da algorithm in python,mypred = myplsda.predict(Xdata)
"set the y axis range to `0, 1000` in subplot using pylab","pylab.ylim([0, 1000])"
plotting categorical data with pandas and matplotlib,df.colour.value_counts().plot(kind='bar')
using python to extract dictionary keys within a list,names = [item['name'] for item in data]
how to sort pandas data frame using values from several columns?,"df.sort(['c1', 'c2'], ascending=[False, True])"
how can i get the previous week in python?,"start_delta = datetime.timedelta(days=weekday, weeks=1)"
generate a random 12-digit number,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))"
functional statement in python to return the sum of certain lists in a list of lists,sum(len(y) for y in x if len(y) > 1)
set execute bit for a file using python,"os.chmod('my_script.sh', 484)"
convert hex string `hexstring` to int,"int(hexString, 16)"
multiple data set plotting with matplotlib.pyplot.plot_date,plt.show()
execute python code `myscript.py` in a virtualenv `/path/to/my/venv` from matlab,system('/path/to/my/venv/bin/python myscript.py')
python: find in list,"[i for i, x in enumerate([1, 2, 3, 2]) if x == 2]"
python implementation of jenkins hash?,"hash, hash2 = hashlittle2(hashstr, 3735928559, 3735928559)"
if/else statements accepting strings in both capital and lower-case letters in python,"""""""3"""""".lower()"
"python: create a ""with"" block on several context managers",do_something()
add variable `var` to key 'f' of first element in json data `data`,data[0]['f'] = var
how to initialize a two-dimensional array in python?,[[Foo() for x in range(10)] for y in range(10)]
decode unicode string `s` into a readable unicode literal,s.decode('unicode_escape')
convert binary string '11111111' to integer,"int('11111111', 2)"
fixing color in scatter plots in matplotlib,plt.show()
python pandas dataframe slicing by date conditions,df.sort_index()
python pandas - how to flatten a hierarchical index in columns,df.columns = df.columns.get_level_values(0)
expanding numpy array over extra dimension,"np.tile(b, (2, 2, 2))"
python pandas: replace values multiple columns matching multiple columns from another dataframe,"df2.rename(columns={'OCHR': 'chr', 'OSTOP': 'pos'}, inplace=True)"
finding the index of elements based on a condition using python list comprehension,a[:] = [x for x in a if x <= 2]
converting string to tuple,"print([(x[0], x[-1]) for x in l])"
smartest way to join two lists into a formatted string,"c = ', '.join('%s=%s' % t for t in zip(a, b))"
dynamically updating plot in matplotlib,plt.draw()
replace rarely occurring values in a pandas dataframe,g = df.groupby('column_name')
numpy `logical_or` for more than two arguments,"np.logical_or.reduce((x, y, z))"
python: sort an array of dictionaries with custom comparator?,"key = lambda d: (not 'rank' in d, d['rank'])"
wait for shell command `p` evoked by  subprocess.popen to complete,p.wait()
get the sum of the products of each pair of corresponding elements in lists `a` and `b`,"sum(x * y for x, y in zip(a, b))"
how to replace values with none in pandas data frame in python?,"df.replace('-', np.nan)"
how to join components of a path when you are constructing a url in python,"urlparse.urljoin('/media/', 'js/foo.js')"
python - how to format variable number of arguments into a string?,"function_in_library('Hello %s' % ', '.join(['%s'] * len(my_args)), my_args)"
iterate through words of a file in python,words = open('myfile').read().split()
get the common prefix from comparing two absolute paths '/usr/var' and '/usr/var2/log',"os.path.commonprefix(['/usr/var', '/usr/var2/log'])"
"elegant way to create a dictionary of pairs, from a list of tuples?",dict(x[1:] for x in reversed(myListOfTuples))
remove all the elements that occur in one list from another,l3 = [x for x in l1 if x not in l2]
create new columns in pandas from python nested lists,"df.A.apply(lambda x: pd.Series(1, x)).fillna(0).astype(int)"
how to sort list of lists according to length of sublists,"sorted(a, key=len)"
print current date and time in a regular format,time.strftime('%Y-%m-%d %H:%M')
regex to separate numeric from alpha,"re.findall('(\\d+|[a-zA-Z]+)', '12fgsdfg234jhfq35rjg')"
confusing with the usage of regex in python,"re.findall('[a-z]*', '123456789')"
python int to binary?,bin(10)
